Genre,Parent Genre
beatlesque,Folk/Acoustic
dominican-pop,pop
indie-pop-rap,Hip Hop
classic-texas-country,country
melanesian-pop,pop
turkish-trap,Hip Hop
concurso-de-talentos-argentino,
plugg,Hip Hop
comic,Hip Hop
pixel,pop
cumbia-pop,pop
social-media-pop,pop
dutch-edm,Electronic
london-rap,Hip Hop
viral-rap,Hip Hop
black-americana,country
queens-hip-hop,Hip Hop
nyc-rap,Hip Hop
football,World/Traditional
eau-claire-indie,Folk/Acoustic
nz-pop,pop
funk-150-bpm,country
reggaeton-colombiano,latin
dembow,latin
bubblegrunge,rock
ukrainian-viral-pop,pop
oulu-metal,metal
bolobedu-house,Electronic
nouvelle-chanson-francaise,World/Traditional
icelandic-pop,pop
bedroom-soul,R&B
greek-pop,pop
lithuanian-rock,rock
maltese-pop,pop
swedish-pop,pop
metropopolis,Electronic
reggaeton-flow,latin
slap-house,Electronic
belgian-hip-hop,Hip Hop
canadian-indie-rock,rock
florida-rap,Hip Hop
australian-psych,metal
deep-euro-house,Electronic
german-cloud-rap,Hip Hop
new-york-drill,Hip Hop
indietronica,pop
pop-edm,Electronic
cubaton,latin
deep-house,Electronic
contemporary-vocal-jazz,jazz
russelater,Electronic
british-indie-rock,rock
musica-jibara,latin
basshall,Electronic
pop-r&b,R&B
girl-group,pop
afroswing,World/Traditional
irish-rock,rock
albanian-hip-hop,Hip Hop
acoustic-pop,pop
kentucky-hip-hop,Hip Hop
pagode,latin
cologne-hip-hop,Hip Hop
drill-francais,
jawaiian,Hip Hop
pop-lgbtq+-brasileira,pop
danish-pop,pop
dutch-hip-hop,Hip Hop
indie-rockism,rock
indie-liguria,classical
funk,R&B
pop-punk,rock
grime,Electronic
venezuelan-hip-hop,Hip Hop
urbano-latino,latin
brega-funk,pop
chill-r&b,R&B
bergamo-indie,metal
circuit,Electronic
indie-rock,rock
gruperas-inmortales,latin
dutch-house,Electronic
flamenco-urbano,latin
belgian-dance,pop
argentine-indie,latin
chicago-house,Electronic
dirty-south-rap,Hip Hop
comedy-rap,Hip Hop
musique-guadeloupe,latin
norwegian-pop,pop
indie-anthem-folk,Folk/Acoustic
afrofuturismo-brasileiro,latin
colombian-hip-hop,Hip Hop
la-pop,pop
danish-electronic,Electronic
miami-hip-hop,Hip Hop
broadway,easy listening
modern-folk-rock,rock
golden-age-hip-hop,Hip Hop
ccm,pop
batidao-romantico,country
reggae-fusion,pop
cumbia,latin
czech-pop,pop
alabama-rap,Hip Hop
deep-talent-show,country
downtempo,Electronic
indie-electropop,pop
chilean-hardcore,latin
indonesian-hip-hop,Hip Hop
talent-show,pop
show-tunes,easy listening
british-invasion,rock
celtic-rock,rock
hands-up,pop
trap,Hip Hop
disco-house,Electronic
chicano-rap,Hip Hop
moldovan-pop,pop
portuguese-pop,pop
new-french-touch,Electronic
alternative-dance,rock
icelandic-indie,classical
post-teen-pop,pop
san-diego-rap,Hip Hop
hyphy,Hip Hop
melodipop,pop
swedish-idol-pop,pop
channel-islands-indie,World/Traditional
channel-pop,pop
canadian-electronic,Electronic
deep-pop-edm,Electronic
viral-trap,Hip Hop
deep-tropical-house,Electronic
swedish-tropical-house,Electronic
